ingredient_id,name_cn,inci_name,cas_no,synonyms,use_purpose_2023,efficacy_2023,literature_evidence,efficacy_relation,mechanism_legacy,mechanism_id_1,reference_1,mechanism_id_2,reference_2
6775,威廉环毛蚓（PHERETIMA GUILLELMI）提取物,PHERETIMA GUILLELMI EXTRACT,,地龙多肽,,,,,,,,,
4202,阔叶椴（TILIA PLATYPHYLLOS）提取物,TILIA PLATYPHYLLOS EXTRACT,,,舒缓,舒缓,,,,,,,
2873,红花槭（ACER RUBRUM）提取物,ACER RUBRUM EXTRACT,,,,,,,,,,,
4972,欧洲椴（TILIA EUROPAEA）花提取物,TILIA EUROPAEA FLOWER EXTRACT,,,,,,,,,,,
8922,长茎葡萄蕨藻（CAULERPA LENTILLIFERA）提取物,CAULERPA LENTILLIFERA EXTRACT,,,保湿剂;抗皱,"抗皱,保湿",,,,,,,
6291,水解稻（ORYZA SATIVA）叶提取物,HYDROLYZED RICE LEAF EXTRACT,,,,,,,,,,,
6010,神经酰胺 AS,CERAMIDE AS,,,修护;发用调理剂,"修护,护发",,,,,,,
6956,纤连蛋白,FIBRONECTIN,,,修护,修护,修护，抗皱,修护|抗皱,L5|/,JL201|JL141,"[1]辛建雄,张景桓,陈军,邱晓锋,刘忠.纤连蛋白冻干粉修护功效的体外研究[J].日用化学品科学,2022,45(09):35-39.https://kns.cnki.net/KXReader/Detail?invoice=NyG0prUFx8ne4H5R2YJ4gS3ifHeW%2BY476%2F0mL61e11YVmK%2BEc5pPfD03jn1QwG%2FOSRrYQbgLCktkro4J3U1WKh%2FHIAgxhV2asYG9ybOWFZ8Z4Q2zUTykv5TS0XeDJguz5npvd44GAdeFK2R89vmLWZFQByer4%2FhWJBRH8cDPCtM%3D&DBCODE=CJFQ&FileName=RYHX202209008&TABLEName=cjfdlast2022&nonce=4BD247B2FF584D829E60FC6AB741CA9C&TIMESTAMP=1697531367461&uid=|[1]邹洁,陈来成,吴雅勤,等.纤连蛋白的研究进展及在化妆品中的应用[J].日用化学品科学,2021,44(11):48-51. https://kns.cnki.net/kcms2/article/abstract?v=kz9ikNiCkdqFNXu4-L9_gqCp2PxE_Sn4eB4F7bA8uKJtbgMHogr4OkbmyHSXflJZc5rrEcUUDmte7I1G94QdQ46n92jUpGGkmLMA3RlqQ-6BRwI8vhVIB061BkrbPkcGeCXuNTExvj-lTwntbY5odahePcOF0t7Jwgxi5wA9DtHg5BgKpXeS1_1ti-xe6Nr7&uniplatform=NZKPT&language=CHS",JL142,"[1]邹洁,陈来成,吴雅勤,等.纤连蛋白的研究进展及在化妆品中的应用[J].日用化学品科学,2021,44(11):48-51. https://kns.cnki.net/kcms2/article/abstract?v=kz9ikNiCkdqFNXu4-L9_gqCp2PxE_Sn4eB4F7bA8uKJtbgMHogr4OkbmyHSXflJZc5rrEcUUDmte7I1G94QdQ46n92jUpGGkmLMA3RlqQ-6BRwI8vhVIB061BkrbPkcGeCXuNTExvj-lTwntbY5odahePcOF0t7Jwgxi5wA9DtHg5BgKpXeS1_1ti-xe6Nr7&uniplatform=NZKPT&language=CHS"
4969,欧洲椴（TILIA CORDATA）木提取物,TILIA CORDATA WOOD EXTRACT,,,保湿剂;肤感调节剂;舒缓,"舒缓,保湿",,,,,,,
6185,鼠尾草（SALVIA JAPONICA）提取物,SALVIA JAPONICA EXTRACT,,,紧致;舒缓,"紧致,舒缓",,,,,,,
