product_id,brand,category_lv1,category_lv2,price_band,price_min,price_max,launch_date,core_claims
12404565990,蓝月亮,洗涤,衣物清洁护理,35.0-107.0,35.0,107.0,2019-12-16 17:01:25,柔顺|留香|防静电香氛
12519988950,艾碧臣,洗护,私密清洁,41.0-52.0,41.0,52.0,2019-10-21 03:17:45,抑菌|止痒|清洁弱酸
14567388488,植芙萃,彩妆,面部底妆,109.0,109.0,109.0,2019-06-27 17:29:49,遮瑕中性皮肤|痘印|痘痘肌|遮斑点|遮泪沟|黑眼圈
17289238843,薇诺娜,护肤,面部护理,308.0-807.0,308.0,807.0,2019-06-27 17:37:32,保湿|修护|去红|舒缓|补水敏感肌
17810965735,袋鼠妈妈,护肤,身体护理,163.0-342.0,163.0,342.0,2019-09-27 16:47:18,修护|抗衰|滋润|舒缓紧致准孕妇|孕妇|宝妈|秋冬|精华油|精粹油
18208777883,薇诺娜,护肤,面部护理,91.0-183.0,91.0,183.0,2019-09-27 16:47:26,保湿|嫩肤|清爽|舒缓|补水柔嫩敏感肌|水乳|湿敷|秋冬
18322316303,允薇,美妆工具,化妆辅助类工具,18.0-37.0,18.0,37.0,2020-02-20 18:36:13,刀锋|新手
20615775594,蓝月亮,洗涤,衣物清洁护理,19.0-39.0,19.0,39.0,2019-12-16 17:02:19,清洁去污学生|瓶装
39069799294,舒蕾,洗护,洗发护发,41.0-82.0,41.0,82.0,2019-06-27 19:25:39,修护|去屑|柔顺|止痒|滋养抚平毛躁头发洗护
40139777191,奥妙,洗涤,衣物清洁护理,79.0,79.0,79.0,2019-12-16 17:10:16,杀菌|留香|除螨家庭装|香氛
40899356617,欧莱雅,洗护,洗发护发,86.0-90.0,86.0,90.0,2019-06-27 19:32:06,柔顺|滋养头发洗护|精油洗护
41196187687,妇炎洁,洗涤,衣物清洁护理,36.0-109.0,36.0,109.0,2019-12-19 17:07:24,杀菌|除螨囤货|家庭装
44091303436,强生婴儿,护肤,婴童护肤,39.0-142.0,39.0,142.0,2019-08-07 11:02:18,婴幼产品|抚触油|新生儿适用
520099524555,杰威尔,洗护,美发造型,12.0-43.0,12.0,43.0,2019-07-02 04:23:31,定型|留香|蓬松哑光|男士专用
521147921275,凡士林,护肤,手足护理,23.0-81.0,23.0,81.0,2019-06-27 20:07:21,保湿|修护|护甲|滋润水润手甲共护|果香调|花果香|香氛
525332729369,玉泽,护肤,面部护理,206.0-330.0,206.0,330.0,2019-06-27 20:25:03,保湿|修护|去红|舒缓|补水修护角质层|改善泛红|舒缓干燥干敏肌|敏感肌|脸部泛红
527691864812,欧莱雅男士,护肤,面部护理,103.0-195.0,103.0,195.0,2019-06-27 20:32:15,保湿|抗衰|滋润|补水抗皱|紧致男士专用|秋冬
