review_id,product_id,source,rating_bucket,sentiment_tag,effect_tags,issue_tags,created_at
001236418533521,16524601412,taobao,unknown,好评,包装|滋润|护手|发货,包装|效果|服务,2024-04-17 00:00:00
001236373389412,16524601412,taobao,unknown,好评,很香,气味,2024-04-17 00:00:00
001235854016872,16524601412,taobao,unknown,好评,性价比|滋润|疼,价格|效果,2024-04-13 00:00:00
001235603364289,16524601412,taobao,unknown,好评,护手,效果,2024-04-10 00:00:00
001236040931667,16524601412,taobao,unknown,好评,便宜|干燥|滋润|护手|不油腻,价格|效果,2024-04-09 00:00:00
001235843950005,16524601412,taobao,unknown,好评,物美价廉,质量|价格,2024-04-08 00:00:00
001235608565006,16524601412,taobao,unknown,好评,nan,nan,2024-04-08 00:00:00
001235535573007,16524601412,taobao,unknown,好评,nan,nan,2024-04-07 00:00:00
001235712066645,16524601412,taobao,unknown,好评,香味|刺鼻|滋润,气味|效果,2024-04-07 00:00:00
001235653842788,16524601412,taobao,unknown,好评,不油腻,效果,2024-04-06 00:00:00
001235663066926,16524601412,taobao,unknown,好评,性价比|便宜|滋润,价格|效果,2024-04-06 00:00:00
001235610014647,16524601412,taobao,unknown,好评,包装|香味|护手|快递,包装|气味|效果|物流,2024-04-05 00:00:00
001235151796710,16524601412,taobao,unknown,差评,nan,nan,2024-04-05 00:00:00
001235602162312,16524601412,taobao,unknown,好评,正品,正品,2024-04-05 00:00:00
001235041404675,16524601412,taobao,unknown,好评,nan,nan,2024-04-04 00:00:00
001235214741365,16524601412,taobao,unknown,差评,贵,价格,2024-04-03 00:00:00
001235436534771,16524601412,taobao,unknown,好评,质量,质量,2024-04-03 00:00:00
001235538575884,16524601412,taobao,unknown,好评,材质,质量,2024-04-03 00:00:00
001235359835728,16524601412,taobao,unknown,好评,nan,nan,2024-04-01 00:00:00
001234752892503,16524601412,taobao,unknown,中评,外观|包装|油|滋润|效果|起皮|香味|刺鼻|味道,包装|效果|气味,2024-04-01 00:00:00
001235025021944,16524601412,taobao,unknown,好评,香味|味道|好闻,气味,2024-04-01 00:00:00
001234928385225,16524601412,taobao,unknown,好评,不油腻|味道|好闻,效果|气味,2024-03-31 00:00:00
001235269099242,16524601412,taobao,unknown,好评,味道|爽身,气味|效果,2024-03-31 00:00:00
001234675788051,16524601412,taobao,unknown,好评,nan,nan,2024-03-31 00:00:00
001235304023460,16524601412,taobao,unknown,好评,nan,nan,2024-03-31 00:00:00
001235033834038,16524601412,taobao,unknown,好评,清香|味道|性价比|便宜|干燥|护手|不油腻|干净|细嫩,气味|价格|效果,2024-03-30 00:00:00
001234555392047,16524601412,taobao,unknown,好评,香味|味道|干燥|滋润|效果,气味|效果,2024-03-30 00:00:00
001234677437659,16524601412,taobao,unknown,好评,nan,nan,2024-03-29 00:00:00
001234859922452,16524601412,taobao,unknown,好评,便宜,价格,2024-03-28 00:00:00
001234402240341,16524601412,taobao,unknown,好评,质量,质量,2024-03-28 00:00:00
001248492919965,19003899726,taobao,unknown,好评,nan,nan,2024-08-27 00:00:00
001247960180575,19003899726,taobao,unknown,好评,干净,效果,2024-08-26 00:00:00
001248170534919,19003899726,taobao,unknown,好评,卖家|发货|客服|回复|包装|速度|物流,服务|包装|物流,2024-08-25 00:00:00
001248261643295,19003899726,taobao,unknown,好评,nan,nan,2024-08-24 00:00:00
001247741044187,19003899726,taobao,unknown,好评,效果|保湿,效果,2024-08-24 00:00:00
001247847597120,19003899726,taobao,unknown,好评,过敏|清洁,效果,2024-08-23 00:00:00
001246905861988,19003899726,taobao,unknown,好评,过敏|效果,效果,2024-08-12 00:00:00
001246828130221,19003899726,taobao,unknown,好评,nan,nan,2024-08-09 00:00:00
001246905747687,19003899726,taobao,unknown,好评,价格,价格,2024-08-08 00:00:00
001246375846026,19003899726,taobao,unknown,差评,味道,气味,2024-08-04 00:00:00
001246026080121,19003899726,taobao,unknown,中评,nan,nan,2024-08-04 00:00:00
001246258234362,19003899726,taobao,unknown,中评,贵,价格,2024-08-02 00:00:00
001246178774815,19003899726,taobao,unknown,中评,贵,价格,2024-08-01 00:00:00
001246049390339,19003899726,taobao,unknown,好评,服务|耐心|态度|客服|温和|过敏|痒|防晒|3瓶,服务|效果|规格,2024-07-31 00:00:00
001245649568790,19003899726,taobao,unknown,好评,nan,nan,2024-07-31 00:00:00
001246209391711,19003899726,taobao,unknown,差评,效果,效果,2024-07-31 00:00:00
001245828889115,19003899726,taobao,unknown,好评,nan,nan,2024-07-31 00:00:00
001245725685452,19003899726,taobao,unknown,差评,nan,nan,2024-07-29 00:00:00
001246002415588,19003899726,taobao,unknown,好评,油|保湿|效果,效果,2024-07-29 00:00:00
001245788131349,19003899726,taobao,unknown,好评,nan,nan,2024-07-27 00:00:00
001244913556254,19003899726,taobao,unknown,好评,nan,nan,2024-07-22 00:00:00
001245214214125,19003899726,taobao,unknown,中评,nan,nan,2024-07-21 00:00:00
001244929037021,19003899726,taobao,unknown,差评,坏了|颜色|包装|盒子,质量|颜色|包装,2024-07-20 00:00:00
001244882958362,19003899726,taobao,unknown,好评,痒|敏感性,效果,2024-07-17 00:00:00
001244935671973,19003899726,taobao,unknown,差评,味道|好闻,气味,2024-07-16 00:00:00
001244598609273,19003899726,taobao,unknown,中评,温和|干净|清洁|紧绷,效果,2024-07-16 00:00:00
001244407556287,19003899726,taobao,unknown,好评,温和|保湿|舒敏|效果,效果,2024-07-16 00:00:00
001244681250172,19003899726,taobao,unknown,好评,温和,效果,2024-07-15 00:00:00
001244457973906,19003899726,taobao,unknown,好评,质量|效果,质量|效果,2024-07-15 00:00:00
001244473382367,19003899726,taobao,unknown,好评,包装|清洁|不拔干|物流,包装|效果|物流,2024-07-13 00:00:00
001247122202082,35016923522,taobao,unknown,差评,过敏,效果,2024-08-12 00:00:00
001246814825604,35016923522,taobao,unknown,好评,nan,nan,2024-08-11 00:00:00
001246788350820,35016923522,taobao,unknown,差评,太香,气味,2024-08-09 00:00:00
001246889511794,35016923522,taobao,unknown,好评,干燥,效果,2024-08-08 00:00:00
001246905491837,35016923522,taobao,unknown,好评,质地|黏腻|保湿|闷痘|效果|滋润|过敏|起皮|清爽,质量|效果,2024-08-08 00:00:00
001246298356432,35016923522,taobao,unknown,中评,nan,nan,2024-08-07 00:00:00
001246258425384,35016923522,taobao,unknown,差评,香味|过敏|滋润|效果,气味|效果,2024-08-05 00:00:00
001245972758825,35016923522,taobao,unknown,好评,nan,nan,2024-07-30 00:00:00
001246028283969,35016923522,taobao,unknown,中评,过敏|火辣辣,效果,2024-07-29 00:00:00
001245916823765,35016923522,taobao,unknown,好评,滋润|清爽|效果|黏糊,效果|质量,2024-07-28 00:00:00
001244681948425,35016923522,taobao,unknown,好评,味道|很舒服,气味|效果,2024-07-19 00:00:00
001245080563680,35016923522,taobao,unknown,好评,nan,nan,2024-07-18 00:00:00
001244503524158,35016923522,taobao,unknown,好评,的香,气味,2024-07-17 00:00:00
001244814915704,35016923522,taobao,unknown,好评,nan,nan,2024-07-15 00:00:00
001244690935997,35016923522,taobao,unknown,差评,过敏,效果,2024-07-14 00:00:00
001244586710380,35016923522,taobao,unknown,好评,包装,包装,2024-07-14 00:00:00
001244391045675,35016923522,taobao,unknown,好评,nan,nan,2024-07-14 00:00:00
001244071577611,35016923522,taobao,unknown,中评,油|滋润,效果,2024-07-11 00:00:00
001243778036720,35016923522,taobao,unknown,好评,温和|保湿|滋润|刺激,效果,2024-07-09 00:00:00
001243935041924,35016923522,taobao,unknown,好评,nan,nan,2024-07-09 00:00:00
001243768525297,35016923522,taobao,unknown,好评,nan,nan,2024-07-07 00:00:00
001243817326098,35016923522,taobao,unknown,好评,性价比|日期,价格|日期,2024-07-05 00:00:00
001243418356392,35016923522,taobao,unknown,好评,nan,nan,2024-07-05 00:00:00
001243683778345,35016923522,taobao,unknown,好评,很香|味道,气味,2024-07-04 00:00:00
001243286652237,35016923522,taobao,unknown,好评,贵|水嫩|不油腻,价格|效果,2024-07-04 00:00:00
001243454133253,35016923522,taobao,unknown,好评,态度|客服|质量,服务|质量,2024-07-03 00:00:00
