trend_id,keyword,topic_cluster,heat_index,growth_monthly,platform,captured_at
trend_74e3baa543a7,冰晶眼膜,concept,183,3560.0,taobao,2026-02-01 00:00:00
trend_46ff9d43fcac,冷拉提,concept,184,2966.67,taobao,2026-02-01 00:00:00
trend_ff6a88628e05,气泡霜,concept,98,1533.33,taobao,2026-02-01 00:00:00
trend_ce163a9e145d,泡沫面膜,concept,3246,1111.19,taobao,2026-02-01 00:00:00
trend_3af2b03fde2b,泡泡水腮红,concept,864,1052.0,taobao,2026-02-01 00:00:00
trend_a0c4ee72233f,阳台,concept,222,1010.0,taobao,2026-02-01 00:00:00
trend_c39f79abc1b2,分仓,concept,329,789.19,taobao,2026-02-01 00:00:00
trend_f5c1b45f8968,精华唇釉,concept,1038,765.0,taobao,2026-02-01 00:00:00
trend_8dae7f6e975c,微光腮红,concept,2364,605.67,taobao,2026-02-01 00:00:00
trend_a040a6981351,浮雕,concept,11073,600.38,taobao,2026-02-01 00:00:00
trend_9a9051eacbfb,精油粉饼,concept,74,516.67,taobao,2026-02-01 00:00:00
trend_16c5c513395d,凝雾唇釉,concept,30898,432.36,taobao,2026-02-01 00:00:00
trend_dcfc8cc1d958,被窝香,concept,5,400.0,taobao,2026-02-01 00:00:00
trend_35f9d0fad844,身体刷酸,concept,1315,294.89,taobao,2026-02-01 00:00:00
trend_de5f7d9389dd,啵光,concept,1927,288.51,taobao,2026-02-01 00:00:00
trend_e4b25a764486,千人千色,concept,21939,279.37,taobao,2026-02-01 00:00:00
trend_7dafe94fee8a,氢气面膜,concept,20,233.33,taobao,2026-02-01 00:00:00
trend_457de36968f7,五重玻尿酸,concept,1344,225.42,taobao,2026-02-01 00:00:00
trend_49fddd64cab2,眼下蜜粉,concept,843,222.99,taobao,2026-02-01 00:00:00
trend_88602c315160,睫毛上妆液,concept,96,220.0,taobao,2026-02-01 00:00:00
trend_e1ce7a235d09,卡片口袋香水,concept,6696,217.95,taobao,2026-02-01 00:00:00
trend_dfcaab6202d0,打底棒,concept,1521,209.78,taobao,2026-02-01 00:00:00
trend_aa62ef24faee,不伤手,concept,3002,196.64,taobao,2026-02-01 00:00:00
trend_a5e5cde7fd6c,反光乳,concept,160,196.3,taobao,2026-02-01 00:00:00
trend_2a07dccce4e9,碎发整理膏,concept,66236,164.98,taobao,2026-02-01 00:00:00
trend_32b688371a8a,项目后,concept,25184,163.35,taobao,2026-02-01 00:00:00
trend_a03ff339bb74,双因,concept,1700,159.54,taobao,2026-02-01 00:00:00
trend_08f9c60aa746,等渗,concept,68534,157.23,taobao,2026-02-01 00:00:00
trend_ed13c7890cdd,瓶装精华粉,concept,90,143.24,taobao,2026-02-01 00:00:00
trend_444453223b4e,口袋香水,concept,7695,142.36,taobao,2026-02-01 00:00:00
trend_31e916b6ba88,豆腐霜,concept,575,140.59,taobao,2026-02-01 00:00:00
trend_ba8cfbfcf4f0,摩擦爆香,concept,2402,133.2,taobao,2026-02-01 00:00:00
trend_259249e77a3f,干洗店专用,concept,41579,132.01,taobao,2026-02-01 00:00:00
trend_66e93990f335,进口香氛,concept,34642,125.55,taobao,2026-02-01 00:00:00
trend_f5171792ab7f,晚间面膜,concept,26,116.67,taobao,2026-02-01 00:00:00
trend_a4f40d6876c0,微珠精华,concept,42913,110.28,taobao,2026-02-01 00:00:00
trend_c290507003a7,空气唇霜,concept,18006,107.35,taobao,2026-02-01 00:00:00
trend_d9195ae0cf3e,俄罗斯红,concept,224,103.64,taobao,2026-02-01 00:00:00
trend_ef99d6c270bb,奶烙口红,concept,3459,102.52,taobao,2026-02-01 00:00:00
trend_a93d4118f28b,粘土唇粉霜,concept,4,100.0,taobao,2026-02-01 00:00:00
trend_bd4fde561285,内修外抗,concept,8,100.0,taobao,2026-02-01 00:00:00
trend_16ab842cbe45,八繁九制,concept,2,100.0,taobao,2026-02-01 00:00:00
trend_bac44bac39b6,面霜喷雾,concept,82833,99.4,taobao,2026-02-01 00:00:00
trend_af82d00acc51,精油隔离霜,concept,6069,97.11,taobao,2026-02-01 00:00:00
trend_330e96c75138,雪纱隔离,concept,48500,95.25,taobao,2026-02-01 00:00:00
trend_e64e4f674408,一支多用,concept,465,93.75,taobao,2026-02-01 00:00:00
trend_a03e9a326d02,四叉眉笔,concept,46033,90.26,taobao,2026-02-01 00:00:00
trend_ea5a0bd24a18,发膜帽,concept,6498,88.73,taobao,2026-02-01 00:00:00
trend_3c2219eadadc,红茶棕,concept,1204,88.71,taobao,2026-02-01 00:00:00
trend_75ce6b7754db,醛香调,concept,2222,87.99,taobao,2026-02-01 00:00:00
trend_32385b281fd3,抑黑,concept,22840,87.77,taobao,2026-02-01 00:00:00
trend_335bc474acc7,水油分层,concept,2399,87.42,taobao,2026-02-01 00:00:00
trend_66d4a0eb7136,皂香,concept,2580,87.36,taobao,2026-02-01 00:00:00
trend_e8d810eb19a3,半哑光,concept,2409,87.33,taobao,2026-02-01 00:00:00
trend_d4af3b069cae,精油喷雾,concept,146007,83.53,taobao,2026-02-01 00:00:00
trend_99634f3f1534,毛流感,concept,55562,82.05,taobao,2026-02-01 00:00:00
trend_9b074d9f2832,尤雾弹,concept,48793,81.48,taobao,2026-02-01 00:00:00
trend_9f8795b82403,铁锈红,concept,52167,80.97,taobao,2026-02-01 00:00:00
trend_e0c7663bbd89,面膜皂,concept,9,80.0,taobao,2026-02-01 00:00:00
trend_88e590b7f21f,冻干蜜粉,concept,111,79.03,taobao,2026-02-01 00:00:00
trend_c0a44f66fe60,松鼠毛,concept,3204,75.56,taobao,2026-02-01 00:00:00
trend_61c47507ac1b,痘敏肌,concept,11410,74.2,taobao,2026-02-01 00:00:00
trend_68adc471daf8,降燥,concept,6086,73.69,taobao,2026-02-01 00:00:00
trend_ec2699328a00,气垫唇霜,concept,40817,72.77,taobao,2026-02-01 00:00:00
trend_6d3a359f888d,光电,concept,10018,72.37,taobao,2026-02-01 00:00:00
trend_8fd3808d993c,平头,concept,201514,70.67,taobao,2026-02-01 00:00:00
trend_b9ca5e3deb68,身体油喷雾,concept,2474,66.26,taobao,2026-02-01 00:00:00
trend_9002620aa952,奶唇泥,concept,56331,65.46,taobao,2026-02-01 00:00:00
trend_6b4b0bca37d8,微精华露,concept,6833,64.06,taobao,2026-02-01 00:00:00
trend_852ff7cfc0be,脆敏肌,concept,3832,62.86,taobao,2026-02-01 00:00:00
trend_44877acb2511,泵式,concept,107394,60.28,taobao,2026-02-01 00:00:00
trend_f7ca6c1872db,撞色,concept,5530,59.18,taobao,2026-02-01 00:00:00
trend_bf9aadf2c23e,超抗,concept,48954,58.07,taobao,2026-02-01 00:00:00
trend_237c61d4be63,化学防晒,concept,1656,57.26,taobao,2026-02-01 00:00:00
trend_812d283bdcb6,多用液,concept,3165,57.15,taobao,2026-02-01 00:00:00
trend_880407f2b025,体膜,concept,2782,56.56,taobao,2026-02-01 00:00:00
trend_805b44cf70df,无硫酸盐,concept,291,56.45,taobao,2026-02-01 00:00:00
trend_c62c4fac03fa,蒸汽发膜,concept,9523,56.01,taobao,2026-02-01 00:00:00
trend_31f61d90cfe1,葡萄霜,concept,265,55.88,taobao,2026-02-01 00:00:00
trend_134a62aa2638,变色牙膏,concept,5763,55.84,taobao,2026-02-01 00:00:00
trend_7db374bba01f,白绷带,concept,1720,54.12,taobao,2026-02-01 00:00:00
trend_e28de6397699,蜜柚香,concept,94,54.1,taobao,2026-02-01 00:00:00
trend_d7190622d5c2,暖男香,concept,20,53.85,taobao,2026-02-01 00:00:00
trend_0d0a4c0d4a44,SK-II神仙水,concept,89602,53.64,taobao,2026-02-01 00:00:00
trend_89e38f3407ae,云霜质地,concept,3385,52.75,taobao,2026-02-01 00:00:00
trend_7998d09e2e6b,釉唇膏,concept,3975,52.24,taobao,2026-02-01 00:00:00
trend_0b20711f2b86,可撕拉,concept,197130,51.76,taobao,2026-02-01 00:00:00
trend_0439027d0e8e,早A晚A,concept,610,50.25,taobao,2026-02-01 00:00:00
trend_aa17da7d71bc,多用棒,concept,46605,50.21,taobao,2026-02-01 00:00:00
trend_900eced08edb,真空泵,concept,3,50.0,taobao,2026-02-01 00:00:00
trend_abe35987077a,马赛克,concept,3,50.0,taobao,2026-02-01 00:00:00
trend_12bcfb55e1ae,萌虎,concept,15,50.0,taobao,2026-02-01 00:00:00
trend_aa5ff0959218,卸妆泡泡油,concept,3,50.0,taobao,2026-02-01 00:00:00
trend_e6d980844aed,雨衣唇膏,concept,9,50.0,taobao,2026-02-01 00:00:00
trend_c36bd65a4667,定妆膏,concept,26261,49.77,taobao,2026-02-01 00:00:00
trend_537cc9de543d,黑鸦片,concept,19866,49.46,taobao,2026-02-01 00:00:00
trend_6d54d16bcc19,气血感,concept,3017,48.77,taobao,2026-02-01 00:00:00
trend_afdd09dfcd62,氨基酸,concept,197749,47.3,taobao,2026-02-01 00:00:00
trend_91de36d85e0f,革黄素,concept,4931,47.15,taobao,2026-02-01 00:00:00
trend_e6af7b367092,液态唇膜,concept,50,47.06,taobao,2026-02-01 00:00:00
